OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
0.240877 -0.41721 -0.000674181 0.000382702 0.354797 39.7234 39.919 2.40876 -4.1721 218.8 
0.267913 -0.464039 -0.000699943 0.000452156 0.355609 39.741 39.931 2.67913 -4.64039 242.91 
0.293892 -0.509037 -0.000733823 0.000543226 0.356718 39.7649 39.9477 2.93892 -5.09036 265.83 
0.318712 -0.552025 -0.000778736 0.000663464 0.358253 39.7977 39.9709 3.18712 -5.52025 287.243 
0.342273 -0.592835 -0.000838664 0.000823009 0.360402 39.8434 40.0037 3.42273 -5.92834 306.609 
0.364484 -0.631305 -0.000918939 0.00103505 0.36344 39.9074 40.0507 3.64484 -6.31305 322.913 
0.385256 -0.667284 -0.0010263 0.00131554 0.367765 39.9977 40.1185 3.85256 -6.67283 334.167 
0.404508 -0.700629 -0.00116806 0.00168016 0.37394 40.1252 40.2166 4.04508 -7.00629 336.433 
0.422164 -0.731209 -0.00134832 0.00213382 0.382705 40.3036 40.3584 4.22164 -7.31209 322.245 
0.438153 -0.758904 -0.00155719 0.00264411 0.394874 40.5466 40.56 4.38153 -7.58903 279.184 
0.452413 -0.783603 -0.00175021 0.00309791 0.410962 40.8591 40.8354 4.52413 -7.83603 192.427 
0.464888 -0.80521 -0.00183678 0.00329309 0.430469 41.2234 41.1838 4.64888 -8.0521 57.8168 
0.475528 -0.823639 -0.00173232 0.00307367 0.451363 41.596 41.5746 4.75528 -8.23639 -101.058 
0.484292 -0.838817 -0.00145679 0.0025203 0.470812 41.9281 41.9531 4.84291 -8.38817 -242.291 
0.491144 -0.850686 -0.00112398 0.00187959 0.486787 42.1928 42.272 4.91144 -8.50686 -340.315 
0.496057 -0.859196 -0.000830718 0.00133354 0.498777 42.3886 42.5143 4.96057 -8.59196 -397.229 
0.499013 -0.864316 -0.000610573 0.000933462 0.507292 42.527 42.687 4.99013 -8.64316 -426.615 
