OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-4.19445e-17 -0.685005 2.05523e-17 0.0834467 -1.93577e-16 4.58917 -1.44758 -4.19725e-16 -6.85463 -308.26 
-3.90606e-17 -0.637908 2.05643e-17 0.0835084 -1.96806e-16 4.59149 -1.4499 -3.90902e-16 -6.38392 -286.932 
-3.60226e-17 -0.588293 2.0573e-17 0.0835532 -1.83726e-16 4.59317 -1.45158 -3.60537e-16 -5.88801 -264.46 
-3.28424e-17 -0.536357 2.05787e-17 0.0835863 -1.58409e-16 4.59441 -1.45282 -3.28749e-16 -5.36887 -240.936 
-2.95326e-17 -0.482304 2.05822e-17 0.0836112 -1.2584e-16 4.59535 -1.45376 -2.95663e-16 -4.82854 -216.451 
-2.61063e-17 -0.426348 2.05844e-17 0.0836306 -1.16647e-16 4.59608 -1.45448 -2.61411e-16 -4.26916 -191.104 
-2.25769e-17 -0.368709 2.05861e-17 0.083646 -1.19641e-16 4.59666 -1.45507 -2.26127e-16 -3.69293 -164.995 
-1.89584e-17 -0.309614 2.05876e-17 0.0836589 -1.22121e-16 4.59714 -1.45555 -1.8995e-16 -3.10212 -138.226 
-1.52651e-17 -0.249298 2.05889e-17 0.08367 -1.27775e-16 4.59756 -1.45596 -1.53024e-16 -2.49907 -110.903 
-1.15116e-17 -0.187998 2.05903e-17 0.08368 -1.31156e-16 4.59793 -1.45634 -1.15494e-16 -1.88616 -83.1353 
-7.71262e-18 -0.125957 2.05916e-17 0.0836897 -1.31575e-16 4.59829 -1.4567 -7.75078e-17 -1.2658 -55.0311 
-3.88321e-18 -0.0634176 2.0593e-17 0.0836993 -1.31895e-16 4.59866 -1.45707 -3.9216e-17 -0.640446 -26.7018 
-3.84734e-20 -0.000628318 2.05944e-17 0.0837096 -1.32088e-16 4.59904 -1.45745 -7.69468e-19 -0.0125664 1.74096 
3.80641e-18 0.0621634 2.0596e-17 0.0837208 -1.32478e-16 4.59947 -1.45787 3.76801e-17 0.615363 30.1848 
7.63628e-18 0.12471 2.05978e-17 0.0837338 -1.3602e-16 4.59995 -1.45836 7.5981e-17 1.24086 58.5173 
1.1436e-17 0.186764 2.05999e-17 0.083749 -1.39395e-16 4.60052 -1.45893 1.13982e-16 1.86147 86.6268 
1.51906e-17 0.248081 2.06025e-17 0.0837676 -1.4523e-16 4.60122 -1.45963 1.51533e-16 2.47473 114.402 
1.88852e-17 0.308419 2.0606e-17 0.0837906 -1.62276e-16 4.60209 -1.46049 1.88486e-16 3.07822 141.734 
2.25054e-17 0.36754 2.06112e-17 0.0838199 -2.0303e-16 4.60318 -1.46159 2.24696e-16 3.66956 168.513 
2.60366e-17 0.425211 2.062e-17 0.0838575 -2.61181e-16 4.6046 -1.463 2.60018e-16 4.24642 194.634 
2.94652e-17 0.481203 2.06346e-17 0.0839069 -3.32119e-16 4.60645 -1.46486 2.94315e-16 4.80652 219.994 
3.27774e-17 0.535296 2.06597e-17 0.0839726 -4.32367e-16 4.60892 -1.46732 3.27449e-16 5.34765 244.489 
3.59603e-17 0.587277 2.07034e-17 0.0840611 -5.51522e-16 4.61224 -1.47065 3.59292e-16 5.86768 268.021 
3.90013e-17 0.63694 2.07783e-17 0.0841821 -6.83275e-16 4.61678 -1.47519 3.89716e-16 6.36455 290.492 
4.18884e-17 0.684089 2.09054e-17 0.0843495 -8.3305e-16 4.62306 -1.48147 4.18603e-16 6.83631 311.8 
4.46101e-17 0.728538 2.11231e-17 0.0845839 -1.02328e-15 4.63186 -1.49027 4.45837e-16 7.28108 331.838 
4.71558e-17 0.770113 2.15061e-17 0.0849157 -1.28499e-15 4.64432 -1.50273 4.71312e-16 7.69712 350.479 
4.95154e-17 0.808648 2.22062e-17 0.0853903 -1.66825e-15 4.66213 -1.52054 4.94927e-16 8.08278 367.548 
5.16795e-17 0.843991 2.35345e-17 0.0860755 -2.20986e-15 4.68785 -1.54626 5.16589e-16 8.43654 382.759 
5.36398e-17 0.876004 2.61201e-17 0.0870726 -2.98675e-15 4.72528 -1.58369 5.36212e-16 8.75701 395.583 
5.53883e-17 0.904559 3.12915e-17 0.0885323 -4.10917e-15 4.78007 -1.63848 5.53719e-16 9.04291 404.95 
5.69182e-17 0.929545 4.18379e-17 0.0906762 -5.75078e-15 4.86055 -1.71896 5.6904e-16 9.29313 408.626 
