One group  442
-0.942478 -1.25664 -35.8013 
-0.942478 -0.942478 -46.93 
-0.942478 -0.628319 -55.7618 
-0.942478 -0.314159 -61.4322 
-0.942478 0 -63.3861 
-0.942478 0.314159 -61.4322 
-0.942478 0.628319 -55.7618 
-0.942478 0.942478 -46.93 
-0.942478 1.25664 -35.8013 
-0.942478 1.5708 -23.465 
-0.942478 1.88496 -11.1287 
-0.942478 2.19911 -7.10543e-15 
-0.942478 2.51327 8.83181 
-0.942478 2.82743 14.5022 
-0.942478 3.14159 16.4561 
-0.628319 -3.14159 7.62425 
-0.628319 -2.82743 5.67037 
-0.628319 -2.51327 -7.10543e-15 
-0.628319 -2.19911 -8.83181 
-0.628319 -1.88496 -19.9605 
-0.628319 -1.5708 -32.2968 
-0.628319 -1.25664 -44.6331 
-0.628319 -0.942478 -55.7618 
-0.628319 -0.628319 -64.5936 
-0.628319 -0.314159 -70.264 
-0.628319 0 -72.2179 
-0.628319 0.314159 -70.264 
-0.628319 0.628319 -64.5936 
-0.628319 0.942478 -55.7618 
-0.628319 1.25664 -44.6331 
-0.628319 1.5708 -32.2968 
-0.628319 1.88496 -19.9605 
-0.628319 2.19911 -8.83181 
-0.628319 2.51327 -7.10543e-15 
-0.628319 2.82743 5.67037 
-0.628319 3.14159 7.62425 
-0.314159 -3.14159 1.95388 
-0.314159 -2.82743 0 
-0.314159 -2.51327 -5.67037 
-0.314159 -2.19911 -14.5022 
-0.314159 -1.88496 -25.6309 
-0.314159 -1.5708 -37.9672 
-0.314159 -1.25664 -50.3035 
-0.314159 -0.942478 -61.4322 
-0.314159 -0.628319 -70.264 
-0.314159 -0.314159 -75.9344 
-0.314159 0 -77.8883 
-0.314159 0.314159 -75.9344 
-0.314159 0.628319 -70.264 
-0.314159 0.942478 -61.4322 
-0.314159 1.25664 -50.3035 
-0.314159 1.5708 -37.9672 
-0.314159 1.88496 -25.6309 
-0.314159 2.19911 -14.5022 
-0.314159 2.51327 -5.67037 
-0.314159 2.82743 0 
-0.314159 3.14159 1.95388 
0 -3.14159 0 
0 -2.82743 -1.95388 
0 -2.51327 -7.62425 
0 -2.19911 -16.4561 
0 -1.88496 -27.5848 
0 -1.5708 -39.9211 
0 -1.25664 -52.2574 
0 -0.942478 -63.3861 
0 -0.628319 -72.2179 
0 -0.314159 -77.8883 
0 0 -79.8421 
0 0.314159 -77.8883 
0 0.628319 -72.2179 
0 0.942478 -63.3861 
0 1.25664 -52.2574 
0 1.5708 -39.9211 
0 1.88496 -27.5848 
0 2.19911 -16.4561 
0 2.51327 -7.62425 
0 2.82743 -1.95388 
0 3.14159 0 
0.314159 -3.14159 1.95388 
0.314159 -2.82743 0 
0.314159 -2.51327 -5.67037 
0.314159 -2.19911 -14.5022 
0.314159 -1.88496 -25.6309 
0.314159 -1.5708 -37.9672 
0.314159 -1.25664 -50.3035 
0.314159 -0.942478 -61.4322 
0.314159 -0.628319 -70.264 
0.314159 -0.314159 -75.9344 
0.314159 0 -77.8883 
0.314159 0.314159 -75.9344 
